ID_HOSPITAL,HOSPITAL_REFERENCIA,MUNICIPIO_REFERENCIA,REGIAO_REFERENCIA,ENDERECO_REFERENCIA,LEITOS_REFERENCIA,LAT,LOG,TELEFONE_REFERENCIA,EMAIL_REFERENCIA
2298708,Hospital Municipal São João de Meriti,São João de Meriti,REGIÃO METROPOLITANA I,"Av. Presidente Lincoln, S/N - Jardim Meriti, São João de Meriti - RJ, 25555-201",8.0,-227808447,-433757123,(21) 2751-9100,
2268922,Hospital Municipal Desembargador Leal Junior,Itaboraí,REGIÃO METROPOLITANA II,"Av, Estr. Pref. Álvaro de Carvalho Júnior, S/n - Nancilândia, Itaboraí - RJ",8.0,-227375731,-428517015,(21) 97256-6365,
2266733,Hospital Municipal Conde Modesto Leal,Maricá,REGIÃO METROPOLITANA II,"Rua Domicio da Gama, 433 - Centro, Maricá - RJ, 24902-035",4.0,-428192086,-428192086,(21) 3950-2200,
2292084,Hospital Dr Luiz Palmier,São Gonçalo,REGIÃO METROPOLITANA II,"R. Estefânia de Carvalho, S/N - Centro, São Gonçalo - RJ, 24440-400",19.0,-228292179,-430567825,(21) 2199-6166,
2296241,Hospital Regional Darcy Vargas,Rio Bonito,REGIÃO METROPOLITANA II,"R. João do Carmo, 110 - Centro, Rio Bonito - RJ, 28800-000",3.0,-227107731,-426292337,(21) 3634-9990,
2274108,Policlínica Municipal Aguinaldo Moraes,Silva Jardim,REGIÃO METROPOLITANA II,"Av. Oito de Maio, 538 - Reginópolis, Silva Jardim - RJ, 28820-000",2.0,-226518684,-42390727,(22) 2668-1034,
2290073,Hospital Municipal Ana Moreira,Conceição de Macabu,REGIÃO NORTE,"R. Rozendo Fontes Taváres, 199 - Bocaina, Conceição de Macabu - RJ, 28740-000",4.0,-220895645,-418673125,(22) 2779-2509,
2267209,Hospital Municipal Mariana Maria de Jesus,Quissamã,REGIÃO NORTE,"RJ-196, 411 - Piteiras, Quissamã - RJ, 28735-000",4.0,-221082658,-414770526,(22) 2768-9100,
2283328,Hospital Armando Vidal,São Fidélis,REGIÃO NORTE,"Praça São Fidélis, 79 - Vila Tiao Paulo, São Fidélis - RJ, 28400-000",5.0,-216466647,-417468517,(22) 2758-1060,
2286289,Hospital Santa Casa de Misericórdia de João da Barra,São João da Barra,REGIÃO NORTE,"R. João Francisco de Almeida, 260 - Centro, São João da Barra - RJ, 28200-000",2.0,-216357957,-41048482,(22) 2741-1272,
2291320,Hospital Municipal Manoel Carola,São Francisco de Itabapoana,REGIÃO NORTE,"Av. Nilton Mayerhoffer Pessanha, 48 - Ponto de Cacimbas, São Francisco de Itabapoana - RJ, 28230-000",4.0,-214113151,-411430058,(22) 2789-0606,
2267454,Hospital Municipal Augustinho Gesuald Blanc ,Aperibé,REGIÃO NOROESTE,"R. Antônio José Moreira, 359 - Faria Leite, Aperibé - RJ, 28495-000",2.0,-216211989,-421085338,(22) 3864-1710,
2283794,Hospital Municipal Moacyr Gomes de Azevedo,Cambuci,REGIÃO NOROESTE,"Av. José de Souza Faria, 06 - Centro, Cambuci - RJ, 28430-000",2.0,-215773854,-419137802,(22) 2767-5001,
3470350,Hospital Municipal de Itaocara,Itaocara,REGIÃO NOROESTE,"Praça Toledo Piza, 151 - Centro, Itaocara - RJ, 28570-000",2.0,-216656818,-420779021,(22) 3861-3730,
2276267,Hospital Natividade,Natividade,REGIÃO NOROESTE,"Av. Mauro Alves Ribeiro Júnior, 1044 - Balneario, Natividade - RJ, 28380-000",2.0,-210312346,-419944293,(22) 3841-9900,
2290499,Hospital Municipal de Laje do Muriaé,Laje do Muriaé,REGIÃO NOROESTE,"R. Gerôncio Ferreira - Morro do Querosene, Laje do Muriaé - RJ, 28350-000",2.0,-212089541,-421223974,(22) 3829-2372,
2285932,Hospital de Miracema,Miracema,REGIÃO NOROESTE,"R. José Monteiro de Barros, 500 - Hospital de Miracema, Miracema - RJ, 28460-000",2.0,-214056317,-422092115,800 366 2000,
3040119,Hospital Hélio Montezano de Oliveira,Santo Antônio de Pádua,REGIÃO NOROESTE,"Tv. João Jasbick, 520 - Cehab, Santo Antônio de Pádua - RJ, 28470-000",4.0,-215298741,-421990887,800 191 2315,
